Bookmaker,Sport,Player Props,Pre-match odds,Live odds,Markets
BRX,Football,No,Yes,Yes,"ML, Spread, Totals, Draw No Bet, Team Total Home, Team Total Away, Corners Spread, Corners Totals, Bookings Spread, Bookings Totals, Both Teams To Score, Corners Totals Away, Corners Totals Home, Double Chance, European Handicap"
BRX,Handball,No,Yes,Yes,"Spread, Totals, Team Total Home, Team Total Away, 3-Way Result"
BRX,Ice Hockey,No,Yes,Yes,"ML, Spread, Totals, 3-Way Result"
BRX,Tennis,No,Yes,Yes,"ML, Spread, Totals, Spread (Games), Totals (Games)"
BRX,Volleyball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away"
Bally Bet,American Football,Yes,Yes,Yes,"ML, Spread, Totals, Totals HT, Spread 1Q, Player Props, Team Total Home, Team Total Away, Completions, Interceptions, ML HT, Pass Attempts, Passing Yards, Receptions, Rushing Yards, TD Passes, Team Total Away 1Q, Team Total Away HT, Team Total Home 1Q, Team Total Home HT"
Bally Bet,Basketball,Yes,Yes,Yes,"ML, Spread, Totals, Totals HT, Totals 1Q, Player Props, Team Total Home, Team Total Away, 3 Point FG, Assists, Blocks, ML 1Q, ML 2Q, ML 3Q, ML 4Q, ML HT, Points, Pts+Asts, Pts+Rebs, Pts+Rebs+Asts, Rebounds, Steals, Steals+Blocks, Totals 2Q, Totals 3Q, Totals 4Q"
Bally Bet,Boxing,No,Yes,Yes,ML
Bally Bet,Cricket,No,Yes,Yes,ML
Bally Bet,Darts,No,Yes,Yes,ML
Bally Bet,Esports,No,Yes,Yes,"ML, Totals"
Bally Bet,Football,Yes,Yes,Yes,"ML, Spread, Totals, Draw No Bet, Totals HT, Team Total Home, Team Total Away, Corners Totals, Corners Totals HT, 3-Way Result, Anytime Goalscorer, Both Teams To Score, Both Teams To Score HT, European Handicap, ML HT, Player Shots, Player Shots on Target, Shots, Team Total Away HT, Team Total Home HT"
Bally Bet,Handball,No,Yes,Yes,"ML, Totals, 3-Way Result"
Bally Bet,Ice Hockey,Yes,Yes,Yes,"ML, Spread, Totals, Player Props, Team Total Home, Team Total Away, 3-Way Result"
Bally Bet,MMA,No,Yes,Yes,ML
Bally Bet,Rugby,No,Yes,Yes,ML
Bally Bet,Snooker,No,Yes,Yes,ML
Bally Bet,Tennis,No,Yes,Yes,"ML, Spread, Totals, First Set Winner, ML 2nd Set, Spread (Games), Totals (Games), Totals 1st Set (Games)"
Bally Bet,Volleyball,No,Yes,Yes,"ML, Totals, First Set Winner, ML 2nd Set"
BarriereBet FR,American Football,No,Yes,No,"ML, Spread, Totals, Team Total Home, Team Total Away, Both Teams To Score"
BarriereBet FR,Baseball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away"
BarriereBet FR,Basketball,No,Yes,Yes,"ML, Spread, Totals, 3-Way Result"
BarriereBet FR,Darts,No,Yes,No,"ML, Spread, Totals"
BarriereBet FR,Esports,No,Yes,Yes,"ML, Spread, Totals"
BarriereBet FR,Football,No,Yes,Yes,"ML, Spread, Totals, Draw No Bet, Team Total Home, Team Total Away, Corners Spread, Corners Totals, Bookings Spread, Bookings Totals, Bookings Totals Away, Bookings Totals Home, Both Teams To Score, Corners Totals Away, Corners Totals Home, Double Chance, European Handicap"
BarriereBet FR,Handball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away, 3-Way Result, Double Chance"
BarriereBet FR,Ice Hockey,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away, 3-Way Result, Both Teams To Score, Double Chance"
BarriereBet FR,Tennis,No,Yes,Yes,"ML, Spread, Totals, Spread (Games), Totals (Games)"
BarriereBet FR,Volleyball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away"
Bet Da Sorte,American Football,No,Yes,No,"ML, Spread, Totals"
Bet Da Sorte,Baseball,No,Yes,Yes,"ML, Spread, Totals"
Bet Da Sorte,Basketball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away"
Bet Da Sorte,Darts,No,Yes,No,"ML, Spread, Totals"
Bet Da Sorte,Esports,No,Yes,Yes,"ML, Spread, Totals"
Bet Da Sorte,Football,No,Yes,Yes,"ML, Spread, Totals, Draw No Bet, Team Total Home, Team Total Away, Corners Spread, Corners Totals, Bookings Spread, Bookings Totals, Both Teams To Score, Corners Totals Away, Corners Totals Home, Double Chance, European Handicap"
Bet Da Sorte,Handball,No,Yes,Yes,"Spread, Totals, Team Total Home, Team Total Away, 3-Way Result"
Bet Da Sorte,Ice Hockey,No,Yes,Yes,"ML, Spread, Totals, 3-Way Result"
Bet Da Sorte,Tennis,No,Yes,Yes,"ML, Spread, Totals, Spread (Games), Totals (Games)"
Bet Da Sorte,Volleyball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away"
Bet.bet,American Football,No,Yes,No,"ML, Spread, Totals"
Bet.bet,Baseball,No,Yes,Yes,"ML, Spread, Totals"
Bet.bet,Basketball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away"
